,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
$boxHeight,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm
$boxX,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm
$boxY,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm
$boxZ,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm
$cavityHeight,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm
$cavityRadius,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm
$coaxHeight,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm
$coaxOffset,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm
$coaxRad,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm
$fingerHeight,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm
